                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6334,                 2.5663,                 1.9693,                  1e-05,                0.00655,                      0,                      0,                 4.8525,                 30.214,                 8.2646,               0.067295,             0.00033036,             0.00033036
                      2,                 1.4377,                 2.1049,                 1.7169,                0.54565,                0.00087,                0.00013,                  3e-05,                 4.0126,                 6.5059,                 5.2968,               0.034288,             0.00065712,             0.00065712
                      3,                 1.4191,                 2.0528,                 1.6935,                0.54565,                0.00087,                0.00013,                  3e-05,                 6.0659,                    inf,                 7.7998,              0.0012749,             0.00097728,             0.00097728
                      4,                 1.4594,                 2.1282,                 1.7213,                  2e-05,                0.01078,                  1e-05,                      0,                 5.2844,                 15.506,                 7.2946,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4622,                 2.0817,                 1.7218,                  2e-05,                0.01078,                  1e-05,                      0,                 5.2119,                 37.922,                 6.5364,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.4581,                 2.0806,                 1.7149,                 0.0006,                0.00773,                0.00039,                 0.0001,                 4.1272,                 7.0566,                 4.9236,              0.0009604,              0.0009604,              0.0009604
                      7,                  1.441,                 2.0272,                 1.6938,                 0.0001,                0.02581,                  6e-05,                  2e-05,                 4.0345,                 272.04,                 6.4515,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.4339,                 2.0303,                 1.6956,                 0.0001,                0.02581,                  6e-05,                  2e-05,                 5.1335,                 7.6621,                 8.1331,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.4311,                 2.0039,                 1.7007,                0.36566,                0.00909,                0.00112,                 0.0003,                 3.7452,                  26.07,                  5.159,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.4113,                 1.9713,                 1.6723,                0.00113,                0.02997,                0.00082,                0.00017,                 3.7954,                 8.3128,                 5.0123,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.4189,                 1.9928,                 1.6748,                0.00113,                0.02997,                0.00082,                0.00017,                  5.205,                 6.4486,                 8.8383,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4032,                 1.9689,                 1.6744,                  3e-05,                0.00125,                  2e-05,                  1e-05,                 5.8272,                 7.8575,                 10.004,               0.000901,               0.000901,               0.000901
                     13,                 1.4049,                 1.9602,                 1.6668,                0.09118,                0.01399,                0.00019,                  4e-05,                 3.5227,                 2721.7,                 5.0215,              0.0008911,              0.0008911,              0.0008911
