                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4763,                 2.7039,                  1.844,                0.21607,                0.28303,                0.11366,                0.06303,                  1.872,                 7.7548,                 2.5664,               0.070134,              0.0033185,              0.0033185
                      2,                 1.5083,                 2.5037,                 1.8836,                0.32945,                0.36304,                0.20811,                0.11737,                 1.5491,                 2.9954,                 2.0507,               0.039475,              0.0059933,              0.0059933
                      3,                  1.432,                  2.295,                 1.7941,                0.44274,                0.29565,                0.26919,                0.16018,                 1.5511,                 3.1444,                  1.944,              0.0081569,              0.0080081,              0.0080081
                      4,                 1.3799,                 2.1154,                 1.7331,                0.37419,                0.45939,                0.40967,                0.24504,                 1.4551,                 2.1509,                 1.7955,                0.00703,                0.00703,                0.00703
                      5,                  1.354,                 1.9839,                 1.7109,                0.43327,                0.47512,                 0.4339,                0.27474,                 1.3587,                 2.0127,                 1.7573,                0.00703,                0.00703,                0.00703
                      6,                 1.2868,                 1.8176,                 1.6549,                0.46761,                0.56342,                0.53371,                0.35055,                 1.2709,                   1.67,                 1.6386,                0.00604,                0.00604,                0.00604
                      7,                 1.2447,                 1.7259,                 1.6191,                0.47367,                0.52503,                 0.5085,                0.33292,                 1.2595,                  1.856,                 1.6383,                0.00505,                0.00505,                0.00505
                      8,                 1.2048,                 1.6067,                 1.5757,                0.55978,                0.58925,                0.61292,                0.41307,                 1.2408,                 1.4963,                 1.6088,                0.00406,                0.00406,                0.00406
                      9,                 1.1587,                 1.4887,                 1.5341,                0.61062,                 0.6157,                  0.648,                0.43364,                 1.2296,                 1.3908,                 1.6136,                0.00307,                0.00307,                0.00307
                     10,                 1.1197,                 1.3782,                 1.5017,                0.70772,                0.54868,                0.64879,                0.44796,                 1.1574,                 1.3479,                 1.5252,                0.00208,                0.00208,                0.00208
