                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0598,                 1.9598,                 1.4815,                0.77259,                0.66755,                0.75049,                0.52996,                 1.0502,                  1.238,                  1.429,               0.066774,             3.3259e-05,             3.3259e-05
                      2,                0.98491,                 1.2603,                 1.4088,                0.76987,                0.78124,                0.84251,                0.61671,                 0.9922,                0.99003,                 1.4089,               0.033468,                  6e-05,                  6e-05
                      3,                0.92998,                 1.0467,                 1.3561,                0.82035,                0.79361,                0.85804,                0.63256,                0.97173,                0.88387,                 1.3685,             0.00015455,              8.014e-05,              8.014e-05
                      4,                0.90872,                0.93223,                 1.3261,                0.85282,                0.80109,                0.87505,                0.64253,                0.97841,                0.83051,                 1.3652,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                0.89325,                 0.8654,                  1.311,                 0.8517,                0.79243,                 0.8702,                0.64319,                0.97288,                0.83792,                 1.3459,               7.03e-05,               7.03e-05,               7.03e-05
                      6,                0.87224,                0.81061,                 1.2901,                0.84554,                0.80786,                0.86884,                0.64891,                 0.9536,                0.78038,                  1.333,               6.04e-05,               6.04e-05,               6.04e-05
                      7,                0.85021,                 0.7382,                 1.2818,                0.86441,                0.82433,                0.89171,                0.66391,                0.96363,                0.72977,                 1.3492,               5.05e-05,               5.05e-05,               5.05e-05
                      8,                 0.8428,                0.69798,                 1.2623,                0.86018,                0.83934,                0.89687,                0.67143,                 0.9522,                0.72045,                  1.324,               4.06e-05,               4.06e-05,               4.06e-05
                      9,                0.82524,                0.66692,                 1.2478,                0.85777,                 0.8424,                0.89776,                0.67128,                0.95118,                0.71269,                 1.3327,               3.07e-05,               3.07e-05,               3.07e-05
                     10,                0.81298,                0.65327,                 1.2454,                0.85181,                 0.8498,                0.89545,                0.67108,                0.94756,                0.70645,                 1.3182,               2.08e-05,               2.08e-05,               2.08e-05
