                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1163,                 2.3864,                 1.4925,                 0.6014,                0.63998,                 0.6283,                0.43481,                 1.0727,                 1.4741,                 1.4193,               0.066849,             3.3185e-05,             3.3185e-05
                      2,                 1.0272,                  1.403,                 1.3986,                0.77657,                0.68706,                0.76467,                0.53838,                 1.0529,                 1.1615,                 1.3786,               0.033542,             5.9933e-05,             5.9933e-05
                      3,                0.99613,                 1.1989,                 1.3522,                0.75643,                0.77025,                0.81282,                0.58453,                 1.0152,                 1.0248,                 1.3398,             0.00022889,             8.0081e-05,             8.0081e-05
                      4,                0.96527,                 1.0838,                 1.3241,                0.79608,                0.73768,                0.83042,                0.59481,                 1.0047,                 0.9968,                 1.3369,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                0.94669,                 1.0218,                 1.3004,                0.82485,                 0.7697,                0.83558,                0.61195,                0.99806,                0.90847,                  1.324,               7.03e-05,               7.03e-05,               7.03e-05
                      6,                0.92569,                0.94815,                 1.2868,                0.83937,                0.76842,                0.84916,                0.62233,                0.98149,                0.90172,                 1.3094,               6.04e-05,               6.04e-05,               6.04e-05
                      7,                0.91157,                0.89512,                 1.2826,                 0.8482,                0.78158,                0.85781,                0.63513,                0.96721,                0.85637,                 1.2977,               5.05e-05,               5.05e-05,               5.05e-05
                      8,                0.90381,                0.87658,                 1.2741,                0.84048,                0.77968,                0.86487,                0.63884,                0.97768,                 0.8429,                 1.2945,               4.06e-05,               4.06e-05,               4.06e-05
                      9,                0.88822,                 0.8442,                 1.2531,                 0.8486,                0.82583,                0.87534,                0.64681,                0.97491,                0.81205,                 1.2937,               3.07e-05,               3.07e-05,               3.07e-05
                     10,                0.88369,                0.82109,                 1.2536,                0.84421,                 0.8027,                0.86945,                0.64432,                0.96608,                 0.8194,                 1.2865,               2.08e-05,               2.08e-05,               2.08e-05
