                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.14,                 2.1754,                  1.512,                 0.6577,                0.61124,                0.66527,                0.44586,                 1.1507,                 1.4924,                  1.548,               0.067074,             0.00033259,             0.00033259
                      2,                 1.0757,                 1.4849,                 1.4513,                0.75426,                0.72505,                0.78897,                0.53808,                 1.1088,                 1.2505,                 1.4394,               0.034008,                 0.0006,                 0.0006
                      3,                 1.0558,                 1.2982,                 1.4187,                0.74938,                0.70575,                0.75571,                0.52159,                 1.1248,                 1.2106,                 1.4587,             0.00087581,              0.0008014,              0.0008014
                      4,                  1.017,                 1.1488,                 1.3903,                0.72387,                0.73415,                0.79516,                0.54815,                 1.1344,                 1.1186,                 1.4761,               0.000703,               0.000703,               0.000703
                      5,                 1.0139,                 1.0813,                 1.3782,                0.80277,                 0.7668,                 0.8417,                0.60308,                 1.0633,                0.99372,                 1.4114,               0.000703,               0.000703,               0.000703
                      6,                0.97534,                0.99748,                   1.35,                0.76738,                0.81083,                0.84689,                0.60793,                 1.0664,                0.92131,                 1.4131,               0.000604,               0.000604,               0.000604
                      7,                0.94741,                0.89757,                 1.3361,                0.87004,                0.77015,                0.86987,                0.63102,                 1.0414,                0.85165,                 1.3841,               0.000505,               0.000505,               0.000505
                      8,                0.91765,                0.83494,                 1.2998,                0.83127,                0.81873,                0.86316,                0.62515,                 1.0329,                 0.8369,                 1.3623,               0.000406,               0.000406,               0.000406
                      9,                0.88678,                 0.7643,                 1.2758,                 0.8502,                0.81226,                0.87248,                0.64145,                 1.0004,                0.77581,                 1.3367,               0.000307,               0.000307,               0.000307
                     10,                0.85391,                0.72256,                 1.2558,                0.88494,                0.79785,                0.89338,                0.65887,                0.98851,                0.74251,                 1.3254,               0.000208,               0.000208,               0.000208
