                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.662,                 3.0996,                 1.9333,                0.02262,                0.45914,                0.02916,                0.01032,                 2.1868,                 30.495,                 3.1573,               0.070134,              0.0033185,              0.0033185
                      2,                 1.6456,                 2.8535,                 1.9056,                0.25079,                0.26352,                0.13012,                0.06008,                 1.9056,                  3.479,                 2.6028,               0.040068,              0.0065859,              0.0065859
                      3,                 1.5935,                 2.7224,                 1.8535,                 0.1305,                0.20626,                0.10514,                0.04766,                 2.1875,                 3.1785,                 2.7885,              0.0099362,              0.0097874,              0.0097874
                      4,                 1.5618,                 2.6682,                 1.8313,                0.13577,                0.39746,                0.17778,                0.09344,                 1.6845,                 2.6934,                 2.3489,               0.009703,               0.009703,               0.009703
                      5,                  1.533,                 2.5471,                 1.8062,                0.22328,                0.32646,                 0.1833,                 0.0951,                 1.5612,                 2.5612,                 2.0833,               0.009703,               0.009703,               0.009703
                      6,                  1.493,                 2.4756,                 1.7854,                0.58877,                0.25637,                 0.2044,                0.10868,                 1.5664,                 3.5443,                 2.0891,               0.009604,               0.009604,               0.009604
                      7,                 1.4632,                  2.427,                 1.7624,                0.20014,                0.36629,                 0.2014,                0.10577,                 1.6394,                 2.6831,                 2.1183,               0.009505,               0.009505,               0.009505
                      8,                 1.4442,                 2.3746,                 1.7432,                0.21393,                0.42535,                0.28976,                0.16201,                 1.4702,                 2.2733,                 1.9646,               0.009406,               0.009406,               0.009406
                      9,                 1.4271,                  2.322,                 1.7282,                0.20304,                0.40476,                0.29333,                0.16864,                 1.4601,                 2.4608,                 2.0008,               0.009307,               0.009307,               0.009307
                     10,                  1.416,                 2.2564,                 1.7297,                0.28661,                0.35971,                 0.2286,                0.12592,                 1.5975,                 2.7827,                 2.0615,               0.009208,               0.009208,               0.009208
                     11,                 1.4077,                  2.239,                  1.723,                0.22008,                0.40775,                0.26955,                0.15562,                 1.4862,                  2.463,                 2.0395,               0.009109,               0.009109,               0.009109
                     12,                 1.3885,                 2.1946,                 1.7062,                0.51677,                0.35557,                0.34133,                0.19819,                 1.4584,                   2.23,                 1.9174,                0.00901,                0.00901,                0.00901
                     13,                 1.3754,                 2.1348,                 1.6865,                0.28014,                0.41771,                0.32432,                0.18125,                 1.4884,                 2.4827,                 1.9459,               0.008911,               0.008911,               0.008911
                     14,                 1.3699,                 2.1046,                 1.6705,                0.24295,                0.50254,                0.33288,                0.18433,                 1.4928,                  2.481,                 2.0373,               0.008812,               0.008812,               0.008812
