                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1034,                 1.8322,                 1.4169,                0.73998,                0.67475,                0.74777,                0.51954,                 1.0851,                 1.2381,                 1.4923,               0.066849,             3.3185e-05,             3.3185e-05
                      2,                 1.0284,                 1.2099,                 1.3406,                0.79674,                 0.7678,                0.84891,                0.63488,                0.97662,                0.89977,                  1.349,               0.033548,             6.5859e-05,             6.5859e-05
                      3,                 1.0124,                 1.0926,                 1.3234,                0.79528,                0.77079,                0.86166,                0.63571,                0.98015,                0.84304,                 1.3666,             0.00024668,             9.7874e-05,             9.7874e-05
                      4,                0.98321,                0.98864,                 1.3019,                0.85169,                0.81593,                0.86877,                0.63711,                 1.0001,                0.77816,                 1.3815,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                0.97378,                0.95532,                 1.2948,                0.84628,                0.78783,                0.86948,                0.64078,                 1.0093,                0.77322,                 1.3791,              9.703e-05,              9.703e-05,              9.703e-05
                      6,                0.94182,                0.89495,                 1.2863,                0.80728,                0.84761,                0.89489,                0.65303,                0.99438,                 0.7297,                 1.3822,              9.604e-05,              9.604e-05,              9.604e-05
                      7,                 0.9289,                0.84645,                 1.2724,                0.84593,                0.82061,                0.88977,                 0.6602,                0.98625,                0.72485,                 1.3619,              9.505e-05,              9.505e-05,              9.505e-05
                      8,                0.92357,                0.82193,                  1.268,                0.85941,                0.84656,                0.90327,                0.68049,                0.96043,                0.70221,                 1.3223,              9.406e-05,              9.406e-05,              9.406e-05
                      9,                0.90385,                0.79566,                 1.2576,                0.89044,                0.81441,                0.90012,                0.67409,                0.97156,                0.69977,                 1.3423,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                0.90991,                0.78411,                 1.2656,                0.85203,                0.83166,                0.90097,                0.67383,                0.96533,                0.69883,                 1.3417,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                 0.8912,                0.76038,                 1.2485,                0.87087,                0.82825,                0.90443,                0.67067,                0.96971,                0.67855,                 1.3607,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                0.90104,                0.75034,                 1.2558,                0.86717,                0.84051,                0.90365,                0.67583,                0.96519,                0.68413,                 1.3438,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                0.88008,                0.74395,                 1.2494,                0.86689,                0.83639,                0.89581,                0.67803,                0.95643,                0.72305,                 1.3521,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                 0.8762,                0.71933,                 1.2455,                0.86163,                0.84704,                0.90642,                0.68493,                0.95155,                0.65861,                  1.346,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                0.86876,                0.71097,                 1.2395,                0.88235,                0.84556,                0.91975,                0.68951,                0.95503,                0.64125,                 1.3406,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                0.85982,                0.69526,                 1.2276,                 0.8659,                0.85979,                0.91006,                0.68584,                0.96908,                 0.6559,                 1.3603,              8.614e-05,              8.614e-05,              8.614e-05
                     17,                0.86107,                0.68297,                 1.2325,                0.86405,                0.86489,                 0.9021,                0.68235,                0.94804,                0.65574,                 1.3351,              8.515e-05,              8.515e-05,              8.515e-05
                     18,                0.84602,                0.65674,                 1.2232,                0.90411,                0.83991,                0.92015,                0.68789,                0.97877,                0.63654,                 1.3649,              8.416e-05,              8.416e-05,              8.416e-05
                     19,                0.85168,                0.65999,                 1.2173,                0.90043,                0.84413,                0.91825,                0.69757,                0.96923,                0.61862,                 1.3338,              8.317e-05,              8.317e-05,              8.317e-05
                     20,                0.84117,                0.63815,                 1.2125,                0.83161,                0.87147,                0.91444,                0.68792,                 0.9815,                0.63034,                  1.379,              8.218e-05,              8.218e-05,              8.218e-05
                     21,                0.82337,                0.64278,                 1.2141,                 0.8961,                0.83896,                0.91817,                0.69722,                0.95864,                0.62438,                 1.3599,              8.119e-05,              8.119e-05,              8.119e-05
                     22,                0.82578,                 0.6286,                 1.2047,                0.87771,                0.83325,                0.89915,                0.68003,                0.99726,                0.66174,                 1.3852,               8.02e-05,               8.02e-05,               8.02e-05
                     23,                0.80586,                  0.607,                 1.1958,                0.89456,                 0.8423,                 0.9162,                 0.6981,                0.95597,                0.63883,                 1.3697,              7.921e-05,              7.921e-05,              7.921e-05
                     24,                0.81833,                0.61677,                 1.2138,                0.87957,                0.83633,                0.91316,                0.69075,                0.98728,                 0.6269,                 1.3807,              7.822e-05,              7.822e-05,              7.822e-05
