                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0866,                 1.8239,                 1.4182,                 0.7266,                0.70811,                0.78288,                0.55459,                 1.0313,                 1.1278,                 1.4223,               0.066849,             3.3185e-05,             3.3185e-05
                      2,                 1.0101,                 1.1848,                 1.3262,                0.82149,                0.75022,                0.84315,                 0.6251,                0.97293,                0.90037,                 1.3483,               0.033548,             6.5859e-05,             6.5859e-05
                      3,                0.99581,                 1.0599,                 1.3138,                0.80905,                0.79484,                0.87282,                0.64513,                0.97999,                0.83904,                 1.3576,             0.00024668,             9.7874e-05,             9.7874e-05
                      4,                0.97208,                0.96219,                 1.2948,                0.85754,                0.80591,                0.88348,                0.65341,                0.96279,                0.76521,                 1.3344,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                0.95591,                0.92482,                 1.2862,                 0.8835,                0.80081,                0.89389,                0.66628,                0.97571,                0.71254,                 1.3447,              9.703e-05,              9.703e-05,              9.703e-05
                      6,                0.93017,                0.86274,                 1.2794,                0.84926,                0.83122,                0.90149,                0.66066,                0.99583,                0.71424,                 1.3817,              9.604e-05,              9.604e-05,              9.604e-05
                      7,                0.91375,                0.82136,                 1.2686,                0.85224,                0.87285,                 0.9115,                0.67818,                0.97194,                0.67094,                 1.3587,              9.505e-05,              9.505e-05,              9.505e-05
                      8,                0.90744,                0.79889,                 1.2644,                0.86733,                0.84495,                0.90918,                0.69144,                0.94883,                  0.655,                 1.3376,              9.406e-05,              9.406e-05,              9.406e-05
                      9,                0.89445,                0.76578,                 1.2548,                0.86659,                0.83784,                0.88966,                0.66431,                0.97074,                0.69027,                 1.3425,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                0.89767,                0.76802,                 1.2594,                0.88369,                0.84935,                0.90842,                0.68202,                 0.9383,                0.67649,                 1.3217,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                0.88044,                0.74472,                 1.2521,                0.87225,                0.82985,                0.90234,                0.67313,                0.95431,                   0.68,                 1.3442,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                0.88364,                0.73359,                 1.2427,                0.83979,                0.87553,                 0.9087,                0.68428,                0.95177,                0.66606,                 1.3184,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                0.86592,                0.71231,                 1.2391,                0.89081,                0.85099,                0.91513,                0.70124,                0.94216,                0.68054,                 1.3384,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                0.86669,                0.69476,                 1.2356,                0.89737,                0.84074,                0.91294,                0.68632,                0.95048,                0.63355,                 1.3509,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                0.85913,                0.68318,                 1.2388,                0.90469,                0.84163,                0.91497,                0.69927,                0.92918,                 0.6119,                 1.3301,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                0.83337,                0.66453,                 1.2233,                0.87414,                0.87154,                0.91889,                0.71113,                0.91773,                0.61301,                 1.3114,              8.614e-05,              8.614e-05,              8.614e-05
                     17,                0.83541,                0.65902,                 1.2266,                   0.87,                0.87304,                0.91571,                  0.704,                0.93974,                0.62542,                 1.3295,              8.515e-05,              8.515e-05,              8.515e-05
                     18,                0.83818,                0.64923,                 1.2187,                0.88127,                0.86758,                0.92339,                0.70255,                0.95695,                 0.6063,                 1.3322,              8.416e-05,              8.416e-05,              8.416e-05
                     19,                0.83121,                0.64362,                  1.215,                0.88413,                0.87036,                0.91934,                  0.705,                0.94679,                0.62336,                 1.3442,              8.317e-05,              8.317e-05,              8.317e-05
                     20,                0.82069,                0.62038,                 1.2086,                0.87097,                 0.8744,                 0.9248,                0.70823,                0.96014,                0.58945,                 1.3399,              8.218e-05,              8.218e-05,              8.218e-05
                     21,                0.81308,                0.61893,                 1.2028,                0.90761,                0.83854,                0.91195,                0.70427,                0.93576,                0.60403,                 1.3073,              8.119e-05,              8.119e-05,              8.119e-05
