                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0486,                 3.8262,                 2.5089,                0.00493,                  0.297,                0.00676,                0.00204,                 2.9607,                 15.246,                  4.186,               0.067147,             0.00033185,             0.00033185
                      2,                  1.805,                 3.2961,                 2.1429,                0.30077,                  0.102,                0.04013,                0.01283,                  2.463,                 4.4653,                 3.8202,               0.034141,             0.00065853,             0.00065853
                      3,                 1.7874,                  3.196,                 2.1078,                0.01264,                0.05958,                0.01382,                0.00387,                 3.9709,                 6.0292,                 5.0723,              0.0011274,             0.00097856,             0.00097856
                      4,                 1.7655,                 3.0982,                 2.0848,                0.02171,                0.20012,                0.02511,                0.00993,                 2.3966,                 4.5041,                 4.0583,             0.00097003,             0.00097003,             0.00097003
                      5,                 1.7373,                 3.0539,                 2.0606,                0.03066,                0.03782,                 0.0105,                0.00343,                 3.8737,                 4.5334,                 5.0077,             0.00097003,             0.00097003,             0.00097003
                      6,                 1.6858,                 2.9612,                 2.0013,                0.00693,                0.59499,                0.01893,                0.00403,                 3.0577,                 3.5981,                 3.6807,             0.00096004,             0.00096004,             0.00096004
                      7,                 1.6517,                 2.9085,                 1.9783,                0.17595,                0.12345,                0.06425,                0.02837,                 2.4318,                 3.6958,                  3.375,             0.00095005,             0.00095005,             0.00095005
                      8,                 1.6113,                 2.7934,                 1.9312,                  0.005,                0.30405,                0.00607,                0.00192,                 2.7676,                 4.5715,                 3.4232,             0.00094006,             0.00094006,             0.00094006
                      9,                 1.5915,                 2.6987,                 1.9067,                0.03219,                0.38425,                0.03234,                0.01353,                 2.1161,                 5.4569,                 2.8401,             0.00093007,             0.00093007,             0.00093007
                     10,                 1.6085,                 2.6666,                 1.9178,                0.01112,                0.19872,                0.00969,                0.00494,                 2.0922,                 8.2996,                  2.829,             0.00092008,             0.00092008,             0.00092008
                     11,                 1.5836,                 2.6048,                 1.8893,                0.04187,                0.65491,                 0.0825,                0.03406,                 2.1971,                 3.7713,                 2.9045,             0.00091009,             0.00091009,             0.00091009
                     12,                 1.5689,                 2.5699,                 1.8795,                0.02346,                0.56686,                0.03896,                0.01576,                 1.9584,                 4.3723,                 2.7287,              0.0009001,              0.0009001,              0.0009001
                     13,                  1.564,                 2.5339,                 1.8724,                0.19511,                0.16059,                0.07796,                0.03085,                 2.1285,                 3.6489,                 2.9668,             0.00089011,             0.00089011,             0.00089011
                     14,                 1.5473,                 2.4844,                 1.8576,                0.23362,                 0.2784,                 0.1195,                0.05606,                 1.7707,                 3.0152,                 2.3214,             0.00088012,             0.00088012,             0.00088012
                     15,                 1.5189,                 2.4455,                 1.8339,                0.92537,                0.02145,                0.02413,                0.01109,                 2.1191,                 4.9287,                 2.7552,             0.00087013,             0.00087013,             0.00087013
                     16,                 1.5215,                 2.4239,                  1.833,                 0.0284,                0.39188,                0.03405,                0.01664,                 2.3324,                 5.2282,                 2.9566,             0.00086014,             0.00086014,             0.00086014
                     17,                 1.5196,                 2.4226,                 1.8344,                0.04834,                0.43454,                0.07519,                0.03542,                 2.3301,                 4.5808,                 3.1827,             0.00085015,             0.00085015,             0.00085015
                     18,                 1.4959,                 2.3941,                 1.8135,                0.32681,                0.24125,                0.14109,                0.05811,                 2.0753,                 3.3085,                 2.8239,             0.00084016,             0.00084016,             0.00084016
                     19,                 1.4924,                 2.3617,                 1.8152,                0.40332,                0.26694,                 0.2086,                0.09033,                 2.0551,                 2.9009,                 2.5766,             0.00083017,             0.00083017,             0.00083017
                     20,                 1.4836,                 2.3209,                 1.7954,                0.11983,                0.26556,                0.12595,                0.05656,                 2.0169,                 3.5812,                 2.6209,             0.00082018,             0.00082018,             0.00082018
                     21,                 1.4794,                 2.2995,                  1.794,                0.25271,                0.37735,                0.11718,                0.05648,                 1.8695,                  4.029,                 2.7061,             0.00081019,             0.00081019,             0.00081019
                     22,                 1.4679,                 2.2623,                 1.7785,                 0.3124,                 0.3687,                0.25821,                0.13192,                 1.7598,                 2.8769,                 2.2406,              0.0008002,              0.0008002,              0.0008002
                     23,                 1.4555,                 2.2446,                  1.771,                0.42593,                 0.1511,                0.10961,                0.05119,                 1.9628,                 3.3809,                 2.7286,             0.00079021,             0.00079021,             0.00079021
                     24,                 1.4489,                 2.2538,                  1.764,                0.33837,                0.42257,                0.27463,                0.13387,                 1.7316,                  2.358,                 2.3174,             0.00078022,             0.00078022,             0.00078022
                     25,                 1.4489,                 2.2146,                 1.7567,                0.18552,                0.19617,                0.14788,                 0.0734,                 1.8876,                  3.147,                 2.4546,             0.00077023,             0.00077023,             0.00077023
                     26,                 1.4392,                  2.194,                 1.7565,                0.06633,                 0.4769,                0.12535,                0.06156,                 2.2079,                 3.9145,                 2.8375,             0.00076024,             0.00076024,             0.00076024
                     27,                 1.4309,                 2.1794,                 1.7476,                 0.0275,                0.36812,                0.07524,                0.02641,                 2.4979,                 4.8303,                 3.1925,             0.00075025,             0.00075025,             0.00075025
                     28,                  1.419,                  2.128,                  1.736,                0.17764,                0.17565,                0.06027,                0.02514,                 2.2088,                 3.9566,                 2.6753,             0.00074026,             0.00074026,             0.00074026
                     29,                 1.4139,                 2.1396,                 1.7394,                0.28374,                0.32919,                0.18983,                0.09982,                 1.6984,                  2.817,                  2.317,             0.00073027,             0.00073027,             0.00073027
                     30,                 1.4072,                 2.0955,                 1.7243,                0.79615,                0.10744,                0.17225,                0.08316,                 1.9304,                    4.4,                 2.6085,             0.00072028,             0.00072028,             0.00072028
                     31,                 1.3956,                 2.0855,                 1.7099,                0.08563,                0.45968,                0.12828,                0.07081,                 1.8049,                 4.4635,                  2.532,             0.00071029,             0.00071029,             0.00071029
                     32,                 1.3894,                 2.0742,                 1.7061,                0.17919,                 0.4086,                0.26084,                 0.1405,                 1.5588,                 2.6321,                 2.1551,              0.0007003,              0.0007003,              0.0007003
                     33,                 1.3988,                 2.0773,                 1.7135,                0.13124,                0.36712,                0.11731,                0.04666,                 2.3146,                 5.2504,                 3.2795,             0.00069031,             0.00069031,             0.00069031
                     34,                 1.3965,                 2.0557,                 1.7057,                0.67845,                0.11246,                 0.1272,                0.04859,                 2.5633,                 5.0858,                 3.1784,             0.00068032,             0.00068032,             0.00068032
